,Year,Period,State,Loss Reason,Lost Colonies,Timeline
63,2020,Q2,FL,DEADOUT,39000,2020 Q2
183,2020,Q2,MA,DEADOUT,740,2020 Q2
361,2020,Q2,SD,DEADOUT,4600,2020 Q2
360,2020,Q2,SD,CCD,2800,2020 Q2
152,2020,Q2,LA,CCD,650,2020 Q2
102,2020,Q2,IL,CCD,190,2020 Q2
103,2020,Q2,IL,DEADOUT,1500,2020 Q2
302,2020,Q2,OH,CCD,130,2020 Q2
351,2020,Q2,SC,DEADOUT,1700,2020 Q2
350,2020,Q2,SC,CCD,310,2020 Q2
303,2020,Q2,OH,DEADOUT,1700,2020 Q2
143,2020,Q2,KY,DEADOUT,1200,2020 Q2
142,2020,Q2,KY,CCD,120,2020 Q2
112,2020,Q2,IN,CCD,30,2020 Q2
113,2020,Q2,IN,DEADOUT,920,2020 Q2
341,2020,Q2,PA,DEADOUT,1000,2020 Q2
340,2020,Q2,PA,CCD,140,2020 Q2
312,2020,Q2,OK,CCD,40,2020 Q2
313,2020,Q2,OK,DEADOUT,1500,2020 Q2
133,2020,Q2,KS,DEADOUT,440,2020 Q2
132,2020,Q2,KS,CCD,270,2020 Q2
122,2020,Q2,IA,CCD,440,2020 Q2
123,2020,Q2,IA,DEADOUT,3600,2020 Q2
323,2020,Q2,OR,DEADOUT,2500,2020 Q2
322,2020,Q2,OR,CCD,1500,2020 Q2
153,2020,Q2,LA,DEADOUT,1800,2020 Q2
53,2020,Q2,CT,DEADOUT,30,2020 Q2
93,2020,Q2,ID,DEADOUT,14500,2020 Q2
293,2020,Q2,ND,DEADOUT,17500,2020 Q2
401,2020,Q2,VT,DEADOUT,260,2020 Q2
400,2020,Q2,VT,CCD,0,2020 Q2
182,2020,Q2,MA,CCD,50,2020 Q2
62,2020,Q2,FL,CCD,19500,2020 Q2
272,2020,Q2,NY,CCD,20,2020 Q2
391,2020,Q2,UT,DEADOUT,2700,2020 Q2
390,2020,Q2,UT,CCD,130,2020 Q2
273,2020,Q2,NY,DEADOUT,4900,2020 Q2
173,2020,Q2,MD,DEADOUT,680,2020 Q2
172,2020,Q2,MD,CCD,0,2020 Q2
72,2020,Q2,GA,CCD,3300,2020 Q2
73,2020,Q2,GA,DEADOUT,10000,2020 Q2
381,2020,Q2,TX,DEADOUT,25000,2020 Q2
380,2020,Q2,TX,CCD,4100,2020 Q2
282,2020,Q2,NC,CCD,290,2020 Q2
283,2020,Q2,NC,DEADOUT,1600,2020 Q2
163,2020,Q2,ME,DEADOUT,1300,2020 Q2
162,2020,Q2,ME,CCD,0,2020 Q2
82,2020,Q2,HI,CCD,0,2020 Q2
83,2020,Q2,HI,DEADOUT,40,2020 Q2
371,2020,Q2,TN,DEADOUT,1200,2020 Q2
370,2020,Q2,TN,CCD,210,2020 Q2
292,2020,Q2,ND,CCD,9000,2020 Q2
92,2020,Q2,ID,CCD,2400,2020 Q2
223,2020,Q2,MO,DEADOUT,390,2020 Q2
